Ser,203.75,37.35,4,35Kap Ser
Ser,206.08,42.64,4,44Pi  Ser
Ser,202.38,29.07,3,13Del Ser
Ser,206.53,26.8,4,27Lam Ser
Ser,206.02,25.66,3,24Alp Ser
Ser,208.29,24.16,3,37Eps Ser
Ser,210.03,16.47,4,32Mu  Ser
Ser,220.65,13.45,5,3Ups Oph
Ser,234.35,10.5,4,53Nu  Ser
Ser,238.64,8.21,3.7,55Xi  Ser
Ser,239.51,10.77,4,56Omi Ser
Ser,244.13,20.02,4,57Zet Ser
Ser,250.09,21.03,3.7,58Eta Ser
Ser,259.85,27.1,4,63The1Ser
,,,,
Sge,281.2,39.38,4,12Gam Sge
Sge,278.23,39.61,6,8Zet Sge
Sge,277.58,39.11,5,7Del Sge
Sge,275.25,39.01,5,5Alp Sge
Sge,275.39,38.45,5,6Bet Sge
,,,,
Aql,279.18,27.22,4,63Tau Aql
Aql,276.61,27.11,3,60Bet Aql
Aql,275.57,29.38,1.7,53Alp Aql
Aql,276.26,31.1,3.3,54Omi Aql
Aql,275.09,31.46,3,50Gam Aql
Aql,278.09,31.71,5,61Phi Aql
Aql,270.85,28.97,5,38Mu  Aql
Aql,271.95,26.69,4.7,44Sig Aql
Aql,263.95,36.47,3,17Zet Aql
Aql,274.56,21.74,3,55Eta Aql
Aql,279.02,18.93,3,65The Aql
Aql,267.62,25.02,3.7,30Del Aql
Aql,269.96,20.24,3,41Iot Aql
Aql,268.96,14.57,5,39Kap Aql
Aql,261.45,17.85,3,16Lam Aql
,,,,
Del,288.24,29.26,3.3,2Eps Del
Del,289.48,29,4.3,5Iot Del
Del,289.24,27.7,4,7Kap Del
Del,290.48,32.13,3.3,6Bet Del
Del,291.55,33.19,3.3,9Alp Del
Del,292.33,32.12,3.3,11Del Del
Del,293.61,32.96,3.3,12Gam2Del
Del,288.97,30.85,6,3Eta Del
Del,289.92,32.33,6,4Zet Del
Del,290.41,30.78,6,8The Del
,,,,
Equ,297.26,20.32,7,8Alp Equ
Equ,299.57,21.17,7,10Bet Equ
Equ,297.61,25.41,7,5Gam Equ
Equ,298.65,25.03,7,7Del Equ
,,,,
Peg,348.48,25.72,2.3,21Alp And
Peg,343.29,12.56,2.3,88Gam Peg
Peg,333.47,31.12,2.3,53Bet Peg
Peg,327.63,19.46,2.3,54Alp Peg
Peg,335.24,25.57,4,62Tau Peg
Peg,336.06,24.81,4,68Ups Peg
Peg,329.97,35.14,3,44Eta Peg
Peg,329.17,34.45,5,43Omi Peg
Peg,327.24,28.84,4,47Lam Peg
Peg,328.54,29.46,4,48Mu  Peg
Peg,320.27,17.76,3,42Zet Peg
Peg,322.1,18.73,4,46Xi  Peg
Peg,322.67,14.54,5,50Rho Peg
Peg,322.21,15.84,5,49Sig Peg
Peg,310.83,16.47,3,26The Peg
Peg,309.39,15.76,4,22Nu  Peg
Peg,306.04,22.22,2.7,8Eps Peg
Peg,323.86,41.03,3.7,29Pi 2Peg
Peg,318.48,34.37,3.7,24Iot Peg
Peg,313.16,36.73,3.7,10Kap Peg
,,,,
And,355.96,24.32,3,31Del And
And,356.87,27.06,4,29Pi  And
And,355.28,23,4,30Eps And
And,354.67,31.51,4,25Sig And
And,355.47,33.29,4,24The And
And,355.84,32.32,5,27Rho And
And,350.36,40.97,4,17Iot And
And,351.55,41.67,4,19Kap And
And,352.66,43.92,4,16Lam And
And,354.8,17.55,4,34Zet And
And,356.55,15.85,4,38Eta And
And,4.53,25.91,3,43Bet And
And,3.29,29.55,4,37Mu  And
And,3.36,32.45,4,35Nu  And
And,18.39,27.67,3,57Gam1And
And,18.79,36.69,4.3,Phi Per
And,16.65,35.31,3.7,51    And
And,12.92,28.97,4,50Ups And
And,13.08,27.79,4,53Tau And
And,10.65,36.23,5,42Phi And
And,12.05,33.68,5,46Xi  And
And,12.84,33.28,5,48Ome And
And,342.08,43.72,3,1Omi And
,,,,
Tri,11.04,16.77,3,2Alp Tri
Tri,16.43,20.46,3,4Bet Tri
Tri,17.2,19.48,4,8Del Tri
Tri,17.65,18.81,3,9Gam Tri
,,,,
Ari,7.27,7.09,3.3,5Gam2Ari
Ari,8.05,8.42,3,6Bet Ari
Ari,12.15,7.28,5,17Eta Ari
Ari,12.98,5.6,5,22The Ari
Ari,7.61,5.34,5,8Iot Ari
Ari,18.24,6,6,32Nu  Ari
Ari,22.6,3.99,5,48Eps Ari
Ari,24.86,1.66,4,57Del Ari
Ari,26.06,2.73,4,58Zet Ari
Ari,27.48,2.42,4,61Tau1Ari
Ari,20.9,1.15,5,46Rho3Ari
Ari,19.01,-1.45,5,43Sig Ari
Ari,15.87,-5.67,3.7,87Mu  Cet
Ari,11.71,9.92,2.7,13Alp Ari
Ari,22.3,10.33,4,41    Ari
Ari,22.43,12.38,5,39    Ari
Ari,21.05,11.14,5,35    Ari
Ari,20.22,10.73,5,33    Ari
,,,,
Tau,27.65,-6.11,4,5    Tau
Tau,27.16,-7.63,4,4    Tau
Tau,25.95,-8.97,4,2Xi  Tau
Tau,25.27,-9.5,4,1Omi Tau
Tau,31.4,-8.83,5,30    Tau
Tau,34.7,-8.17,3,35Lam Tau
Tau,37.63,-12.39,4,49Mu  Tau
Tau,33.97,-14.66,4,38Nu  Tau
Tau,43.77,-9.72,4,90    Tau
Tau,42.84,-11.94,4,88    Tau
Tau,39.82,-5.94,3.3,54Gam Tau
Tau,40.89,-4.17,3.3,61Del1Tau
Tau,41.98,-5.96,3.3,77The1Tau
